 time energy energy_var zPol zPol_var yPol yPol_var xPol xPol_var tdvpErr tdvpRes dt
0 0.0 -0.0017799537638803627 0.9999968317645986 -5.7900267156407725e-05 0.9999999966475589 0.9999984142048214 3.1715878424886647e-06 0.9999984142048214 3.1715878424886647e-06 0.0 0.0 0.0
1 0.01 -0.0017799537460826053 0.9999968317646618 -0.020056856925955213 0.9995977224902518 0.9997972565750086 0.00040544574508643156 0.9997972565750086 0.00040544574508643156 4.440892098500626e-15 3.9978125831607634e-15 0.01
2 0.02 -0.0017799537282848486 0.9999968317647252 -0.040047790842002495 0.9983961744486752 0.9991961800434388 0.0016069937865996178 0.9991961800434388 0.0016069937865996178 2.1094237467877974e-14 4.998191149660935e-15 0.01
3 0.03 -0.0017799537104870905 0.9999968317647884 -0.060022705641748886 0.9963972748074439 0.9981954250407243 0.003605893427767513 0.9981954250407243 0.003605893427767513 4.773959005888173e-15 3.68963900211725e-15 0.01
4 0.04 -0.0017799536926893346 0.9999968317648522 -0.07997361135929248 0.9936042214861528 0.9967953918688655 0.006398946748995268 0.9967953918688655 0.006398946748995268 1.4876988529977098e-14 4.224836546364312e-15 0.01
5 0.05 -0.001779953674891577 0.9999968317649153 -0.09989252763236334 0.9900214829232175 0.9949966405411291 0.009981685311867227 0.9949966405411291 0.009981685311867227 1.2656542480726785e-14 4.215821263618113e-15 0.01
6 0.060000000000000005 -0.0017799536570938202 0.9999968317649786 -0.1197714868944697 0.9856547909270879 0.9927998905580451 0.01434837730793355 0.9927998905580451 0.01434837730793355 1.1102230246251565e-15 5.099114821380769e-15 0.01
7 0.07 -0.0017799536392960646 0.9999968317650421 -0.13960253756192426 0.9805111315062717 0.990206020619605 0.019492036728686518 0.990206020619605 0.019492036728686518 1.1102230246251565e-14 4.800064186825724e-15 0.01
8 0.08 -0.0017799536214983072 0.9999968317651056 -0.159377747214477 0.9745987336928383 0.9872160682737816 0.025404434542056382 0.9872160682737816 0.025404434542056382 1.6431300764452317e-14 4.961049277817047e-15 0.01
9 0.09 -0.0017799536037005504 0.9999968317651686 -0.1790892057682843 0.967927056377285 0.9838312295015104 0.03207611185754623 0.9838312295015104 0.03207611185754623 1.6431300764452317e-14 4.760030037914599e-15 0.01
10 0.09999999999999999 -0.001779953585902794 0.9999968317652321 -0.19872902863994218 0.960506773175825 0.9800528582382979 0.039496395058942924 0.9800528582382979 0.039496395058942924 8.881784197001252e-15 4.665753516187647e-15 0.01
11 0.10999999999999999 -0.001779953568105039 0.9999968317652955 -0.21828935990031895 0.9523497553543088 0.9758824658326455 0.047653412880395554 0.9758824658326455 0.047653412880395554 1.5765166949677223e-14 5.089858702213072e-15 0.01
12 0.11999999999999998 -0.0017799535503072827 0.9999968317653589 -0.2377623754169273 0.9434690528361003 0.9713217204415121 0.05653411539854113 0.9713217204415121 0.05653411539854113 1.8984813721090177e-14 5.7951676514605305e-15 0.01
13 0.12999999999999998 -0.0017799535325095273 0.9999968317654221 -0.25714028598357774 0.9338788733242838 0.9663724463630499 0.0661242949102941 0.9663724463630499 0.0661242949102941 1.3322676295501878e-14 4.192994582194131e-15 0.01
14 0.13999999999999999 -0.0017799535147117718 0.9999968317654857 -0.27641534043606064 0.9235945595716168 0.9610366233068866 0.07640860866289781 0.9610366233068866 0.07640860866289781 7.993605777301127e-15 4.5845477096444355e-15 0.01
15 0.15 -0.0017799534969140164 0.9999968317655488 -0.2955798287526114 0.9126325648345768 0.9553163856022389 0.08737060339987426 0.9553163856022389 0.08737060339987426 1.2878587085651816e-14 4.8120338122998486e-15 0.01
16 0.16 -0.0017799534791162618 0.999996831765612 -0.31462608513792084 0.9010104265507857 0.9492140213441844 0.09899274168360206 0.9492140213441844 0.09899274168360206 2.220446049250313e-16 4.835410472899074e-15 0.01
17 0.17 -0.001779953461318507 0.9999968317656756 -0.33354649108945095 0.888746738281915 0.9427319714784211 0.11125642995240959 0.9427319714784211 0.11125642995240959 4.440892098500626e-15 4.336749793022718e-15 0.01
18 0.18000000000000002 -0.0017799534435207513 0.9999968317657391 -0.3523334784448376 0.875861119966961 0.9358728288248891 0.12414204826729995 0.9358728288248891 0.12414204826729995 2.0095036745715333e-14 4.703349948327049e-15 0.01
19 0.19000000000000003 -0.0017799534257229974 0.9999968317658027 -0.3709795324091552 0.8623741865334844 0.928639337040644 0.13762898170071328 0.928639337040644 0.13762898170071328 1.2434497875801753e-14 5.059797702686146e-15 0.01
20 0.20000000000000004 -0.0017799534079252438 0.9999968317658657 -0.3894771945608336 0.8483075149170225 0.9210343895223936 0.15169565331711196 0.9210343895223936 0.15169565331711196 1.532107773982716e-14 5.5016158880218315e-15 0.01
21 0.21000000000000005 -0.0017799533901274916 0.9999968317659289 -0.40781906583502725 0.8336836095414455 0.9130610282491387 0.1663195586926252 0.9130610282491387 0.1663195586926252 6.8833827526759706e-15 4.104390851194339e-15 0.01
22 0.22000000000000006 -0.0017799533723297336 0.9999968317659922 -0.4259978094832504 0.8185258663154723 0.9047224425653785 0.18147730191853528 0.9047224425653785 0.18147730191853528 7.216449660063518e-15 4.890300709704189e-15 0.01
23 0.23000000000000007 -0.00177995335453198 0.9999968317660559 -0.44400615400804977 0.80285853520298 0.8960219679053834 0.19714463303096436 0.8960219679053834 0.19714463303096436 1.2434497875801753e-14 5.2644823326885605e-15 0.01
24 0.24000000000000007 -0.0017799533367342266 0.9999968317661191 -0.4618368960716349 0.7867066814269181 0.886963084459008 0.21329648680696295 0.886963084459008 0.21329648680696295 9.43689570931383e-15 5.81127552160816e-15 0.01
25 0.25000000000000006 -0.0017799533189364724 0.9999968317661823 -0.4794829033771959 0.7700961453689746 0.8775494157796226 0.22990702286484294 0.8775494157796226 0.22990702286484294 2.4424906541753444e-15 4.829397754308039e-15 0.01
26 0.26000000000000006 -0.0017799533011387196 0.9999968317662459 -0.4969371175218258 0.7530535012290991 0.8677847273346916 0.24694966700465515 0.8677847273346916 0.24694966700465515 8.215650382226158e-15 5.3304239073580855e-15 0.01
27 0.2700000000000001 -0.001779953283340966 0.999996831766309 -0.514192556819882 0.7356060145110324 0.8576729249995836 0.2643971537226584 0.8576729249995836 0.2643971537226584 1.887379141862766e-15 4.971836550856287e-15 0.01
28 0.2800000000000001 -0.0017799532655432132 0.9999968317663723 -0.5312423190956606 0.7177815984018645 0.8472180534952243 0.28222156983176305 0.8472180534952243 0.28222156983176305 1.887379141862766e-14 6.77107546898592e-15 0.01
29 0.2900000000000001 -0.0017799532477454603 0.9999968317664357 -0.5480795844442654 0.6996087691154012 0.8364242947702064 0.3003943991181628 0.8364242947702064 0.3003943991181628 1.021405182655144e-14 5.554207971234991e-15 0.01
30 0.3000000000000001 -0.0017799532299477084 0.9999968317664993 -0.5646976179595727 0.6811166002707845 0.8252959663280102 0.31888656796271636 0.8252959663280102 0.31888656796271636 2.7755575615628914e-15 3.759985919148116e-15 0.01
31 0.3100000000000001 -0.0017799532121499555 0.9999968317665627 -0.5810897724281903 0.6623346763793542 0.8138375195000025 0.3376684918540834 0.8138375195000025 0.3376684918540834 1.9317880628477724e-14 4.974587179394898e-15 0.01
32 0.3200000000000001 -0.0017799531943522035 0.9999968317666259 -0.597249490988345 0.6432930455141627 0.8020535376649047 0.3567101227192114 0.8020535376649047 0.3567101227192114 5.551115123125783e-16 4.81624312972208e-15 0.01
